"State","totalHighestOffice","votingEligiblePop","vepHighestOffice","totalIneligibleFelon","Pop"
"Minnesota",2944813,3973204,"74.1000",72439,5700671
"New Hampshire",744296,1042795,"71.4000",2818,1371246
"Maine",747927,1058372,"70.7000",0,1345790
"Colorado",2780247,3974405,70,28762,5845526
"Wisconsin",2976150,4285071,"69.5000",68649,5851754
"Iowa",1566031,2288536,"68.4000",31614,3179849
"Massachusetts",3325046,4948028,"67.2000",8780,6976597
"Maryland",2781446,4189616,"66.4000",71029,6083116
"Oregon",2001336,3024174,"66.2000",15166,4301089
"Virginia",3984631,6027152,"66.1000",73277,8626207
"Washington",3317019,5123020,"64.7000",80568,7797095
"Michigan",4799284,7420628,"64.7000",40502,10045029
"North Carolina",4741564,7352501,"64.5000",94089,10611862
"Florida",9420039,14601066,"64.5000",219431,21992985
"New Jersey",3874046,6013656,"64.4000",113768,8936574
"Delaware",443814,691720,"64.2000",15416,982895
"Vermont",315067,494871,"63.7000",0,628061
"Connecticut",1644920,2582761,"63.7000",17854,3563077
"Pennsylvania",6165478,9691160,"63.6000",48098,12820878
"Ohio",5496487,8736808,"62.9000",51666,11747694
"Nebraska",844227,1343821,"62.8000",13856,1952570
"Missouri",2808605,4517925,"62.2000",74713,6169270
"Illinois",5589631,8985443,"62.2000",42017,12659682
"Montana",497147,804250,"61.8000",3795,1086759
"Alaska",318608,522679,61,9903,734002
"North Dakota",344360,566783,"60.8000",1791,761723
"District of Columbia",311268,515248,"60.4000",0,720687
"Louisiana",2029032,3384435,60,89349,4645184
"Wyoming",255849,429682,"59.5000",5825,567025
"Idaho",690255,1166706,"59.2000",31476,1826156
"Rhode Island",464144,786012,"59.1000",3038,1056161
"Georgia",4114732,6959963,"59.1000",307727,10736059
"Alabama",2123372,3609447,"58.8000",66983,4908621
"South Dakota",370093,631173,"58.6000",6431,903027
"Kentucky",1924149,3282420,"58.6000",65871,4499692
"Kansas",1184402,2054025,"57.7000",23936,2910357
"Nevada",1125385,1961587,"57.4000",26826,3139658
"Utah",1131430,1991885,"56.8000",5846,3282115
"New York",7721453,13604645,"56.8000",90842,19440469
"South Carolina",2103027,3709283,"56.7000",43298,5210095
"California",14181595,25104844,"56.5000",130390,39937489
"Indiana",2734958,4849937,"56.4000",24948,6745354
"Mississippi",1209357,2191241,"55.2000",44363,2989260
"Arizona",2604657,4740310,"54.9000",89185,7378494
"New Mexico",798319,1464515,"54.5000",16941,2096640
"Arkansas",1130635,2140097,"52.8000",58636,3038999
"Oklahoma",1452992,2778219,"52.3000",47716,3954821
"Texas",8969226,17448910,"51.4000",479956,29472295
"Tennessee",2508027,4909426,"51.1000",75685,6897576
"West Virginia",714423,1423031,"50.2000",14405,1778070
"Hawaii",428937,1012860,"42.3000",5474,1412687